iter	Accuracy	Logloss
0	0.758421844	0.6621763975
1	0.7616249921	0.6404935641
2	0.7627441356	0.6185395314
3	0.7640123656	0.5979760371
4	0.7653491578	0.580721568
5	0.7651716784	0.5646395849
6	0.7646634471	0.5531608842
7	0.7674534192	0.5439374811
8	0.7682954318	0.5342773769
9	0.7673499338	0.523727689
10	0.768748425	0.51640011
11	0.7685304435	0.5110424642
12	0.768363994	0.5051650352
13	0.7689098838	0.4992224655
14	0.7691792501	0.4951068035
15	0.7692140264	0.4913911973
16	0.7692226151	0.4880178662
17	0.7708224985	0.4837372757
18	0.7728225587	0.4798799679
19	0.7732837189	0.4771193643
20	0.7746511594	0.4742870694
21	0.7747360361	0.4723227148
22	0.7751380854	0.4698575791
23	0.775692564	0.4669557125
24	0.7760715632	0.4638205543
25	0.7764955059	0.4618123139
26	0.7758434147	0.4603088817
27	0.7769814222	0.4584838606
28	0.7782575445	0.4555144863
29	0.7781328814	0.453830084
30	0.7792614376	0.4514249597
31	0.779775267	0.4494020226
32	0.7806068378	0.4481040336
33	0.7817610129	0.4463650835
34	0.7839494353	0.4445033059
35	0.7849733686	0.4428610357
36	0.7857200626	0.4408825663
37	0.7860293623	0.4398347517
38	0.789585647	0.4368391884
39	0.7906032857	0.4354907199
40	0.7919202041	0.433946035
41	0.7927745309	0.4327410156
42	0.7943450698	0.4313199491
43	0.7955008233	0.4298689136
44	0.7966495667	0.4280044705
45	0.7974205952	0.4271071898
46	0.7991804866	0.4251837545
47	0.7997625842	0.4239083666
48	0.8003568491	0.4225898332
49	0.8015596932	0.4212466947
50	0.8032441593	0.4198063961
51	0.8060850946	0.4172459089
52	0.8064150032	0.4162492331
53	0.8079035282	0.4147373095
54	0.8096136132	0.4134612359
55	0.8104023877	0.4124000045
56	0.8105413652	0.4116774851
57	0.8117961629	0.4104899071
58	0.8131236701	0.4092453548
59	0.8150169603	0.4078818989
60	0.816674376	0.4063098018
61	0.8175629104	0.4053294903
62	0.8182049815	0.404216349
63	0.8188683772	0.4026939975
64	0.8200882516	0.401338276
65	0.822146854	0.3986928789
66	0.8231138236	0.397468979
67	0.824007368	0.3962584077
68	0.8254281936	0.3952072074
69	0.8271176697	0.3935044899
70	0.828804283	0.3919812721
71	0.8308614539	0.3898087268
72	0.8312904066	0.38874669
73	0.8329535481	0.3863417455
74	0.8337109779	0.3851920403
75	0.8349757957	0.3837410774
76	0.8362640852	0.3821036296
77	0.8367927978	0.3815205691
78	0.8372552423	0.3808481862
79	0.8386724893	0.3794734907
80	0.8392382723	0.3786755179
81	0.840523699	0.3770149185
82	0.8416488235	0.3756606919
83	0.84280744	0.3747155684
84	0.8435028961	0.3736140828
85	0.8440280301	0.3726137396
86	0.8450206186	0.3714290097
87	0.8471361846	0.3689133059
88	0.8478323565	0.3676800556
89	0.8484280527	0.366998628
90	0.8492261316	0.3657039282
91	0.8499244506	0.3646134961
92	0.8509490996	0.3636270574
93	0.8525730235	0.3618177883
94	0.8530340366	0.3609472262
95	0.85428955	0.3595487238
96	0.8555500735	0.3581143438
97	0.8561151408	0.3570095567
98	0.8570108324	0.3560028608
99	0.8575773311	0.3553344495
100	0.8585699197	0.3539322004
