iter	Passed	Remaining
0	17	8584
1	32	8075
2	47	7877
3	62	7795
4	77	7704
5	92	7645
6	107	7594
7	122	7535
8	137	7505
9	152	7463
10	167	7447
11	181	7399
12	196	7352
13	210	7310
14	225	7291
15	240	7265
16	255	7263
17	270	7241
18	285	7223
19	299	7196
20	314	7177
21	328	7147
22	344	7150
23	360	7141
24	374	7122
25	388	7091
26	403	7066
27	417	7037
28	432	7023
29	447	7007
30	462	6991
31	476	6975
32	491	6953
33	505	6929
34	520	6916
35	534	6892
36	549	6874
37	563	6855
38	579	6847
39	593	6820
40	607	6799
41	622	6783
42	636	6762
43	650	6744
44	665	6729
45	680	6716
46	696	6712
47	711	6697
48	728	6704
49	743	6693
50	759	6687
51	774	6671
52	788	6651
53	803	6635
54	819	6627
55	834	6613
56	849	6598
57	864	6585
58	879	6570
59	893	6554
60	909	6545
61	924	6530
62	939	6513
63	953	6495
64	968	6480
65	983	6467
66	998	6451
67	1012	6435
68	1028	6421
69	1043	6411
70	1058	6396
71	1074	6385
72	1088	6367
73	1103	6354
74	1119	6341
75	1133	6323
76	1148	6308
77	1163	6293
78	1177	6275
79	1192	6260
80	1206	6242
81	1222	6229
82	1238	6220
83	1253	6208
84	1268	6192
85	1282	6174
86	1296	6155
87	1312	6145
88	1327	6132
89	1342	6115
90	1357	6099
91	1372	6085
92	1388	6074
93	1403	6060
94	1418	6046
95	1433	6032
96	1447	6015
97	1462	5999
98	1477	5983
99	1491	5966
100	1507	5955
