slug,direction,entry_price,exit_price,shares,pnl_usd,pnl_pct,confidence,model_prob,hold_time_s,reason,sol_at_entry,sol_at_exit,ptb,ts
sol-updown-5m-1778471100,DOWN,0.5,0.99,5.7,2.793,98.0,0.8947,0.1053,83.4,expiry_win,94.8249,94.8112,94.8372,1778471419.705
sol-updown-15m-1778471100,DOWN,0.53,0.99,5.38,2.4748,86.79,0.8638,0.1362,316.6,expiry_win,94.8135,94.7432,94.8372,1778472008.581
sol-updown-5m-1778471700,DOWN,0.52,0.99,5.48,2.5756,90.38,0.9112,0.0888,198.3,expiry_win,94.77,94.74,94.8123,1778472012.338
sol-updown-5m-1778472300,DOWN,0.44,0.99,6.48,3.564,125.0,0.8608,0.1392,174.9,expiry_win,94.61,94.41,94.6305,1778472608.814
sol-updown-5m-1778472600,UP,0.49,0.99,5.82,2.91,102.04,0.8545,0.8545,262.5,expiry_win,94.4631,94.45,94.41,1778472906.335
sol-updown-5m-1778473200,DOWN,0.54,1.1102230246251565e-16,5.28,-2.8512,-100.0,0.8502,0.1498,207.0,expiry_loss,94.57,94.75,94.6135,1778473503.74
sol-updown-5m-1778473500,UP,0.47,0.99,6.06,3.1512,110.64,0.8573,0.8573,154.5,expiry_win,94.8114,94.8149,94.7886,1778473810.044
sol-updown-5m-1778474100,UP,0.55,0.99,5.18,2.2792,80.0,0.8916,0.8916,228.7,expiry_win,95.0362,95.0735,94.97,1778474408.95
sol-updown-5m-1778474700,DOWN,0.54,0.99,5.28,2.376,83.33,0.9372,0.0628,159.5,expiry_win,95.08,94.9684,95.1275,1778475005.229
sol-updown-15m-1778474700,DOWN,0.55,0.99,5.18,2.2792,80.0,0.8644,0.1356,427.0,expiry_win,95.0883,94.9589,95.1275,1778475604.278
sol-updown-5m-1778475600,UP,0.52,0.99,5.48,2.5756,90.38,0.8958,0.8958,118.1,expiry_win,94.9805,95.2653,94.9597,1778475910.073
sol-updown-5m-1778476200,DOWN,0.51,0.99,5.59,2.6832,94.12,0.9087,0.0913,155.5,expiry_win,95.19,95.1489,95.2234,1778476506.963
sol-updown-5m-1778478000,DOWN,0.55,0.99,5.18,2.2792,80.0,0.9008,0.0992,114.1,expiry_win,95.6168,95.4856,95.6365,1778478307.59
sol-updown-5m-1778479200,UP,0.49,0.99,5.82,2.91,102.04,0.8584,0.8584,229.8,expiry_win,95.7009,95.8073,95.65,1778479500.213
sol-updown-5m-1778479500,DOWN,0.43,-5.551115123125783e-17,6.63,-2.8509,-100.0,0.93,0.07,102.3,expiry_loss,95.79,95.89,95.8159,1778479806.393
sol-updown-15m-1778481900,DOWN,0.53,0.99,5.38,2.4748,86.79,0.8513,0.1487,408.9,expiry_win,95.55,95.4812,95.5827,1778482806.264
sol-updown-5m-1778483100,DOWN,0.36,0.0,7.92,-2.8512,-100.0,0.9356,0.0644,48.2,expiry_loss,95.275,95.359,95.2926,1778483404.834
sol-updown-5m-1778483700,UP,0.55,0.99,5.18,2.2792,80.0,0.8914,0.8914,236.4,expiry_win,95.4164,95.5184,95.3555,1778484003.999
sol-updown-15m-1778483700,UP,0.46,5.551115123125783e-17,6.2,-2.852,-100.0,0.9179,0.9179,129.0,expiry_loss,95.385,95.2983,95.3555,1778484603.619
sol-updown-15m-1778484600,UP,0.54,1.1102230246251565e-16,5.28,-2.8512,-100.0,0.8591,0.8591,496.1,expiry_loss,95.347,95.299,95.2997,1778485508.97
sol-updown-5m-1778486400,DOWN,0.52,0.99,5.48,2.5756,90.38,0.8772,0.1228,236.3,expiry_win,95.27,95.1615,95.32,1778486700.837
sol-updown-5m-1778487300,DOWN,0.54,0.99,5.28,2.376,83.33,0.9108,0.0892,93.3,expiry_win,95.01,95.04,95.0401,1778487606.827
sol-updown-15m-1778487300,DOWN,0.55,0.99,5.18,2.2792,80.0,0.8777,0.1223,513.7,expiry_win,94.989,94.5898,95.0401,1778488207.933
sol-updown-5m-1778488200,UP,0.45,0.99,6.33,3.4182,120.0,0.8521,0.8521,241.1,expiry_win,94.684,94.6775,94.6272,1778488504.814
sol-updown-5m-1778489400,DOWN,0.49,0.99,5.82,2.91,102.04,0.8593,0.1407,70.4,expiry_win,94.9599,94.89,94.9714,1778489708.394
sol-updown-15m-1778489100,DOWN,0.52,0.99,5.48,2.5756,90.38,0.8871,0.1129,303.2,expiry_win,94.8822,94.765,94.907,1778490007.148
sol-updown-5m-1778489700,DOWN,0.37,0.99,7.7,4.774,167.57,0.8779,0.1221,171.9,expiry_win,94.86,94.8094,94.888,1778490012.314
sol-updown-5m-1778490600,DOWN,0.5673,0.99,5.0,2.1134999999999997,74.51084082496034,0.903166172122581,0.09683382787741898,75.14333629608154,sell_099_win,95.20503,95.204194,95.215134,1778490903.0197842
sol-updown-5m-1778490900,DOWN,0.4874,0.99,5.7,2.86482,103.11858842839557,0.9336710382335,0.06632896176650002,98.49327898025513,sell_099_win,95.198712,95.13025,95.203601,1778491192.6864052
sol-updown-15m-1778490900,DOWN,0.45,0.0,6.33,-2.8485,-100.0,0.9469261748592117,0.05307382514078829,361.39000964164734,expiry_loss,95.2,95.233,95.203601,1778491806.9513302
sol-updown-5m-1778491800,DOWN,0.4673,0.99,6.2,3.2407399999999997,111.85533918253799,0.8535573567019146,0.14644264329808543,91.75429940223694,sell_099_win,95.2,95.196432,95.231196,1778492104.3548706
sol-updown-5m-1778492400,DOWN,0.5673,0.0,5.18,-2.938614,-100.0,0.8507475824805072,0.14925241751949278,146.33522510528564,expiry_loss,95.129,95.146834,95.129395,1778492701.157371
sol-updown-5m-1778493300,DOWN,0.4673,0.0,6.33,-2.958009,-100.0,0.9555022267931871,0.04449777320681291,54.32535529136658,expiry_loss,95.25503,95.27425,95.253984,1778493606.8666327
sol-updown-5m-1778493600,DOWN,0.5375,0.99,5.38,2.43445,84.18604651162791,0.8523510037851272,0.1476489962148728,159.31906270980835,sell_099_win,95.260169,95.195279,95.274501,1778493885.2949834
sol-updown-5m-1778493900,UP,0.51,0.99,5.59,2.6832,94.11764705882352,0.8539046031023013,0.8539046031023013,81.13337850570679,sell_099_win,95.201184,95.295003,95.202114,1778494162.15768
sol-updown-5m-1778494800,DOWN,0.29,0.0,9.83,-2.8507,-100.0,0.9251408341483763,0.07485916585162364,46.83499598503113,expiry_loss,95.505327,95.506257,95.484,1778495104.507375
sol-updown-5m-1778495100,DOWN,0.49,0.99,5.49,2.745,102.04081632653062,0.9354048107482347,0.0645951892517653,70.81412506103516,sell_099_win,95.505958,95.468,95.5065,1778495401.0984697
sol-updown-5m-1778495400,DOWN,0.3147,0.99,9.5,6.41535,214.5853193517636,0.920819014735886,0.07918098526411396,91.4861946105957,sell_099_win,95.510511,95.397328,95.4845,1778495687.9261792
