iter	Passed	Remaining
0	9	1873
1	19	1848
2	29	1860
3	38	1823
4	50	1904
5	60	1919
6	72	1949
7	83	1962
8	96	2003
9	108	2012
10	120	2020
11	132	2019
12	144	2024
13	156	2027
14	169	2033
15	181	2026
16	192	2020
17	205	2019
18	218	2021
19	229	2010
20	241	2001
21	253	1995
22	273	2044
23	316	2258
24	332	2259
25	347	2259
26	365	2271
27	382	2278
28	399	2285
29	415	2285
30	432	2289
31	447	2278
32	460	2260
33	473	2240
34	485	2220
35	498	2201
36	511	2184
37	525	2169
38	537	2148
39	550	2132
40	563	2116
41	576	2099
42	589	2083
43	607	2085
44	622	2073
45	636	2060
46	650	2047
47	663	2032
48	677	2018
49	691	2004
50	704	1989
51	718	1975
52	731	1960
53	745	1945
54	758	1929
55	771	1915
56	785	1900
57	798	1885
58	811	1871
59	826	1858
60	839	1844
61	853	1830
62	867	1817
63	881	1803
64	894	1788
65	908	1774
66	921	1761
67	935	1747
68	949	1733
69	962	1719
70	976	1705
71	990	1692
72	1004	1678
73	1017	1664
74	1030	1648
75	1043	1633
76	1057	1619
77	1070	1605
78	1084	1592
79	1098	1579
80	1112	1565
81	1126	1551
82	1139	1538
83	1153	1523
84	1167	1510
85	1180	1496
86	1194	1482
87	1208	1468
88	1221	1454
89	1234	1440
90	1248	1426
91	1261	1412
92	1275	1399
93	1289	1385
94	1302	1371
95	1316	1358
96	1330	1343
97	1343	1329
98	1357	1316
99	1370	1302
100	1384	1288
101	1397	1274
102	1411	1260
103	1425	1247
104	1439	1233
105	1453	1220
106	1468	1207
107	1481	1193
108	1496	1180
109	1510	1166
110	1523	1153
111	1538	1139
112	1551	1126
113	1565	1112
114	1578	1098
115	1592	1084
116	1606	1071
117	1620	1057
118	1633	1042
119	1646	1029
120	1660	1015
121	1672	1000
122	1686	987
123	1700	973
124	1713	959
125	1727	945
126	1740	931
127	1754	918
128	1768	904
129	1782	891
130	1796	877
131	1810	864
132	1824	850
133	1838	836
134	1852	823
135	1866	809
136	1880	795
137	1894	782
138	1908	768
139	1921	754
140	1934	740
141	1947	726
142	1961	713
143	1975	699
144	1989	685
145	2002	672
146	2016	658
147	2029	644
148	2043	631
149	2057	617
150	2071	603
151	2085	589
152	2099	576
153	2113	562
154	2127	548
155	2139	534
156	2154	521
157	2166	507
158	2180	493
159	2194	479
160	2208	466
161	2222	452
162	2235	438
163	2248	425
164	2261	411
165	2274	397
166	2288	383
167	2301	369
168	2315	356
169	2329	342
170	2342	328
171	2356	315
172	2370	301
173	2384	287
174	2397	273
175	2411	260
176	2425	246
177	2439	232
178	2453	219
179	2467	205
180	2482	191
181	2496	178
182	2509	164
183	2524	150
184	2538	137
185	2551	123
186	2564	109
187	2578	96
188	2592	82
189	2605	68
190	2620	54
191	2633	41
192	2647	27
193	2660	13
194	2674	0
